Date,Bitcoin (BTC),Ethereum (ETH),BNB Chain (BNB),Cardano (ADA),Solana (SOL),Terra (LUNA),Avalanche (AVAX),Polkadot (DOT),Polygon (MATIC),Cosmos (ATOM),Algorand (ALGO),NEAR (NEAR)
2020-11-01,1.2,1.05,0.93,0.92,0.69,0.94,0.89,1.01,0.82,0.83,0.79,0.54
2020-11-02,1.19,1.01,0.9,0.86,0.64,0.89,0.87,0.96,0.8,0.8,0.75,0.52
2020-11-03,1.23,1.02,0.87,0.87,0.61,0.91,0.8,0.96,0.74,0.78,0.71,0.48
2020-11-04,1.24,1.06,0.87,0.89,0.6,0.89,0.76,0.98,0.72,0.77,0.73,0.46
2020-11-05,1.37,1.1,0.9,0.91,0.61,0.92,0.8,1.01,0.79,0.79,0.76,0.59
2020-11-06,1.36,1.2,0.94,1.02,0.83,0.96,0.86,1.1,0.9,0.85,0.84,0.62
2020-11-07,1.3,1.15,0.9,0.95,0.88,0.91,0.82,1.01,0.84,0.81,0.79,0.6
2020-11-08,1.35,1.2,0.92,0.99,0.93,0.95,0.83,1.04,0.91,0.84,0.81,0.7
2020-11-09,1.34,1.17,0.91,0.99,0.88,0.93,0.82,1.04,0.91,0.9,0.79,0.79
2020-11-10,1.34,1.19,0.92,0.99,0.97,0.97,0.86,1.06,1.0,0.89,0.88,0.81
2020-11-11,1.37,1.22,0.91,0.99,0.86,1.0,0.84,1.06,0.97,0.88,0.85,0.74
2020-11-12,1.43,1.22,0.9,0.98,0.82,0.99,0.82,1.05,0.92,0.88,0.81,0.67
2020-11-13,1.43,1.26,0.91,0.99,0.87,1.0,0.88,1.08,0.99,0.91,0.85,0.77
2020-11-14,1.41,1.22,0.91,0.97,0.83,0.95,0.84,1.06,0.97,0.88,0.81,0.74
2020-11-15,1.4,1.18,0.9,0.94,0.88,0.96,0.85,1.04,0.96,0.87,0.78,0.71
2020-11-16,1.46,1.22,0.91,0.97,0.98,0.98,0.89,1.07,0.97,0.89,0.83,0.74
2020-11-17,1.55,1.27,0.93,1.02,0.95,0.97,0.92,1.14,1.04,0.92,0.84,0.8
2020-11-18,1.56,1.26,0.91,1.0,0.91,0.99,0.9,1.12,0.99,0.89,0.81,0.71
2020-11-19,1.56,1.25,0.91,0.98,0.88,1.02,0.86,1.12,1.0,0.89,0.81,0.72
2020-11-20,1.64,1.35,0.94,1.11,0.92,1.07,0.89,1.25,1.04,0.92,0.87,0.81
2020-11-21,1.64,1.46,0.99,1.25,1.03,1.08,0.97,1.38,1.16,1.03,0.97,1.01
2020-11-22,1.61,1.48,0.97,1.36,0.93,1.09,0.94,1.32,1.11,0.96,0.91,0.92
2020-11-23,1.61,1.61,1.01,1.44,0.98,1.18,0.98,1.41,1.23,1.02,1.03,1.0
2020-11-24,1.68,1.6,1.1,1.56,0.98,1.29,1.02,1.37,1.26,1.04,1.09,1.06
2020-11-25,1.64,1.5,1.01,1.45,0.98,1.27,0.97,1.27,1.22,1.03,1.05,0.94
2020-11-26,1.5,1.37,0.92,1.29,0.82,1.09,0.85,1.15,1.03,0.93,0.92,0.86
2020-11-27,1.5,1.37,0.92,1.32,0.79,1.2,0.86,1.13,1.03,0.94,0.92,0.84
2020-11-28,1.55,1.42,0.95,1.54,0.82,1.21,0.87,1.17,1.09,0.95,0.95,0.87
2020-11-29,1.59,1.52,0.98,1.56,0.83,1.19,0.89,1.24,1.1,0.95,0.97,0.87
2020-11-30,1.72,1.63,1.02,1.61,0.85,1.25,0.89,1.28,1.14,0.97,1.0,0.92
2020-12-01,1.64,1.55,0.98,1.45,0.85,1.21,0.86,1.21,1.09,0.92,0.94,0.91
2020-12-02,1.68,1.58,0.98,1.48,0.91,1.28,0.9,1.31,1.13,0.96,1.04,1.01
2020-12-03,1.7,1.63,1.0,1.53,0.91,1.57,0.92,1.29,1.21,0.96,1.04,0.99
2020-12-04,1.63,1.5,0.94,1.38,0.8,1.41,0.85,1.19,1.1,0.88,0.99,0.94
2020-12-05,1.68,1.58,0.96,1.49,0.85,1.59,0.88,1.24,1.14,0.92,1.05,0.95
2020-12-06,1.7,1.59,0.95,1.48,0.8,1.56,0.87,1.23,1.14,0.9,1.03,0.88
2020-12-07,1.68,1.56,0.95,1.44,0.79,1.59,0.81,1.21,1.11,0.89,1.01,0.86
2020-12-08,1.6,1.46,0.9,1.32,0.72,1.47,0.75,1.13,1.03,0.83,0.92,0.8
2020-12-09,1.62,1.51,0.91,1.38,0.72,1.54,0.78,1.16,1.05,0.84,0.93,0.85
2020-12-10,1.6,1.47,0.9,1.32,0.68,1.48,0.76,1.15,1.03,0.81,0.9,0.82
2020-12-11,1.58,1.44,0.89,1.3,0.62,1.45,0.78,1.1,1.02,0.82,0.88,0.74
2020-12-12,1.65,1.5,0.91,1.35,0.64,1.51,0.8,1.13,1.04,0.88,0.94,0.79
2020-12-13,1.68,1.56,0.94,1.44,0.68,1.5,0.8,1.17,1.06,0.91,0.94,0.81
2020-12-14,1.69,1.55,0.97,1.48,0.69,1.48,0.75,1.17,1.07,0.91,0.95,0.85
2020-12-15,1.7,1.55,0.96,1.44,0.76,1.5,0.79,1.25,1.13,0.92,0.99,0.86
2020-12-16,1.87,1.68,0.99,1.57,0.77,1.58,0.8,1.28,1.13,0.96,1.04,0.89
2020-12-17,2.0,1.7,0.98,1.53,0.73,1.51,0.77,1.28,1.11,0.93,1.01,0.85
2020-12-18,2.02,1.73,1.01,1.54,0.73,1.66,0.82,1.28,1.2,0.93,1.08,0.86
2020-12-19,2.09,1.74,1.09,1.54,0.73,1.69,0.83,1.28,1.16,0.92,1.09,0.9
2020-12-20,2.05,1.68,1.11,1.51,0.67,1.51,0.79,1.23,1.11,0.88,1.04,0.89
2020-12-21,1.99,1.6,1.04,1.43,0.66,1.46,0.76,1.19,1.05,0.88,0.99,1.08
2020-12-22,2.08,1.68,1.09,1.46,0.64,1.59,0.74,1.23,1.08,0.86,1.03,0.99
2020-12-23,2.03,1.54,1.01,1.27,0.52,1.43,0.71,1.13,0.89,0.77,0.88,0.82
2020-12-24,2.08,1.62,1.05,1.43,0.59,1.62,0.75,1.22,0.95,0.87,0.96,0.91
2020-12-25,2.16,1.65,1.08,1.47,0.62,1.68,0.71,1.24,0.97,0.86,0.94,0.87
2020-12-26,2.32,1.68,1.09,1.48,0.57,1.69,0.7,1.24,1.12,0.84,0.94,0.87
2020-12-27,2.3,1.8,1.09,1.44,0.56,1.72,0.7,1.23,1.06,0.84,0.97,1.02
2020-12-28,2.37,1.92,1.16,1.64,0.65,1.93,0.71,1.57,1.09,0.94,1.09,1.04
2020-12-29,2.39,1.93,1.26,1.78,0.72,2.02,0.7,1.8,1.08,0.98,1.05,1.0
2020-12-30,2.53,1.99,1.24,1.72,0.66,2.09,0.7,1.73,1.05,0.95,1.02,1.03
2020-12-31,2.53,1.95,1.21,1.69,0.65,2.04,0.78,2.21,1.02,1.13,1.02,1.19
2021-01-01,2.57,1.93,1.23,1.64,0.8,2.03,0.88,1.98,1.04,1.03,1.22,1.16
2021-01-02,2.82,2.04,1.24,1.66,0.78,1.97,0.84,2.2,1.11,0.95,1.24,1.21
2021-01-03,2.89,2.58,1.34,1.93,0.94,2.06,0.84,2.42,1.16,1.02,1.3,1.26
2021-01-04,2.8,2.75,1.33,2.1,1.08,2.08,0.87,2.27,1.44,1.05,1.36,1.18
2021-01-05,2.98,2.91,1.36,2.42,0.94,2.23,1.03,2.33,1.42,1.08,1.47,1.28
2021-01-06,3.22,3.2,1.37,3.12,0.84,2.23,1.1,2.41,2.07,1.17,1.56,1.32
2021-01-07,3.46,3.23,1.41,2.8,1.02,2.68,1.08,2.31,1.92,1.09,1.41,1.28
2021-01-08,3.56,3.21,1.37,2.84,1.39,2.65,1.37,2.22,1.84,1.04,1.39,1.49
2021-01-09,3.52,3.38,1.43,3.1,1.46,2.55,1.74,2.33,1.95,1.15,1.48,1.51
2021-01-10,3.34,3.31,1.37,2.82,1.49,2.63,1.57,2.22,1.76,1.12,1.4,1.49
2021-01-11,3.1,2.87,1.24,2.57,1.34,2.3,1.56,1.98,1.51,1.0,1.27,1.27
2021-01-12,2.98,2.77,1.24,2.7,1.57,2.33,1.86,1.98,1.52,1.0,1.22,1.22
2021-01-13,3.27,2.98,1.3,2.92,1.52,2.57,2.04,2.61,1.74,1.09,1.37,1.37
2021-01-14,3.42,3.25,1.36,2.91,1.42,2.6,2.24,3.46,1.9,1.13,1.39,1.47
2021-01-15,3.22,3.08,1.32,2.82,1.4,2.47,2.25,3.14,1.98,1.38,1.48,1.57
2021-01-16,3.15,3.24,1.4,3.27,1.48,2.37,3.09,4.29,1.9,1.58,1.58,1.78
2021-01-17,3.13,3.25,1.49,3.55,1.65,2.52,3.17,4.08,1.98,1.49,1.79,2.14
2021-01-18,3.21,3.32,1.47,3.47,1.64,2.5,3.05,3.96,2.1,1.66,1.73,2.06
2021-01-19,3.14,3.61,1.38,3.43,1.57,2.84,2.82,3.92,1.88,1.55,1.59,1.85
2021-01-20,3.11,3.64,1.38,3.51,1.61,2.82,2.98,4.3,2.0,1.55,1.67,2.12
2021-01-21,2.7,2.93,1.25,2.87,1.29,2.48,2.72,3.82,1.66,1.25,1.41,1.85
2021-01-22,2.89,3.26,1.33,3.26,1.44,2.54,3.06,4.09,1.82,1.39,1.55,2.03
2021-01-23,2.81,3.26,1.33,3.23,1.51,2.82,3.1,4.48,1.98,1.45,1.7,2.04
2021-01-24,2.83,3.68,1.36,3.3,1.57,2.84,3.0,4.3,1.93,1.44,1.72,2.19
2021-01-25,2.82,3.48,1.36,3.2,1.6,2.72,2.93,4.11,1.9,1.35,1.7,2.09
2021-01-26,2.84,3.61,1.36,3.21,1.75,3.95,2.93,4.09,2.53,1.35,1.83,2.04
2021-01-27,2.66,3.27,1.33,2.91,1.59,3.5,2.69,3.69,2.44,1.22,1.65,1.74
2021-01-28,2.93,3.52,1.38,3.22,1.65,4.55,2.88,4.04,2.25,1.41,1.71,1.93
2021-01-29,3.0,3.64,1.39,3.25,1.65,4.6,2.79,4.01,2.34,1.39,1.94,1.88
2021-01-30,3.0,3.64,1.45,3.4,1.83,4.48,2.9,3.95,2.33,1.41,2.03,1.86
2021-01-31,2.9,3.47,1.44,3.22,1.84,4.56,3.24,3.85,2.23,1.42,1.99,1.83
2021-02-01,2.93,3.63,1.67,3.82,1.99,5.62,3.18,3.93,2.38,1.62,1.96,1.94
2021-02-02,3.11,3.99,1.65,3.97,2.26,7.36,3.24,4.1,2.38,1.55,1.99,2.11
2021-02-03,3.3,4.4,1.69,4.13,2.48,6.61,3.57,4.99,2.55,1.63,2.28,2.19
2021-02-04,3.24,4.21,1.82,4.11,2.77,8.33,3.68,4.7,2.76,1.6,2.16,2.13
2021-02-05,3.35,4.54,2.19,5.03,2.89,8.99,4.3,4.98,3.19,2.13,2.55,2.45
2021-02-06,3.43,4.43,2.36,5.93,2.64,8.4,4.35,4.87,3.06,2.11,2.47,2.3
2021-02-07,3.4,4.26,2.22,6.18,2.9,9.63,5.71,4.72,3.89,2.42,2.58,2.91
2021-02-08,4.06,4.62,2.59,6.32,3.4,18.04,7.24,5.5,4.14,2.47,3.07,2.96
2021-02-09,4.07,4.67,3.48,6.6,3.37,20.21,7.66,5.52,5.75,2.63,3.14,2.83
2021-02-10,3.92,4.6,4.18,8.78,3.92,19.03,13.17,5.64,6.75,2.61,3.15,2.78
2021-02-11,4.21,4.72,4.02,8.67,3.98,17.15,11.31,5.98,7.17,3.08,3.78,2.95
2021-02-12,4.15,4.87,4.44,8.65,3.99,17.91,11.65,6.86,7.03,3.69,5.25,4.04
2021-02-13,4.13,4.8,4.33,8.53,3.78,17.5,10.37,6.68,6.49,3.54,5.1,4.12
2021-02-14,4.26,4.76,4.41,7.88,3.77,17.6,9.03,6.42,5.84,3.34,4.49,3.69
2021-02-15,4.19,4.7,4.22,8.04,3.83,17.03,9.15,6.64,6.24,3.92,4.14,3.44
2021-02-16,4.31,4.71,4.22,8.13,3.58,20.36,8.73,7.19,6.33,4.38,4.01,3.49
2021-02-17,4.56,4.88,5.36,8.33,3.56,22.73,8.86,7.64,6.52,4.16,4.17,3.62
2021-02-18,4.51,5.12,6.33,8.54,3.87,20.89,9.85,7.43,7.1,4.02,4.26,3.8
2021-02-19,4.9,5.16,10.8,8.65,4.96,19.71,9.32,8.32,8.94,4.0,4.19,3.75
2021-02-20,4.89,5.05,8.21,10.42,4.31,18.56,8.66,9.31,8.41,3.77,4.0,3.42
2021-02-21,5.03,5.11,9.58,10.27,4.79,19.12,8.71,9.47,9.45,3.77,3.99,3.51
2021-02-22,4.74,4.69,8.67,10.25,6.22,22.08,7.75,8.99,8.85,3.69,3.49,3.2
2021-02-23,4.28,4.16,7.51,8.98,6.57,21.01,6.63,8.25,7.96,3.51,3.07,2.88
2021-02-24,4.35,4.29,8.25,9.8,7.51,20.83,7.16,8.04,9.32,3.41,3.24,3.06
2021-02-25,4.12,3.91,7.61,10.05,5.99,18.67,6.46,7.46,10.22,3.09,2.99,3.32
2021-02-26,4.05,3.81,7.19,11.61,5.88,18.4,6.25,7.51,11.08,3.29,2.97,3.61
2021-02-27,4.04,3.85,7.31,12.29,5.7,18.45,6.2,8.0,11.48,3.34,3.35,3.42
2021-02-28,3.96,3.75,6.82,12.27,5.66,16.73,5.77,8.09,13.57,3.08,3.12,3.27
2021-03-01,4.34,4.14,8.27,12.11,6.47,21.06,6.61,8.52,14.54,3.26,3.32,3.59
2021-03-02,4.24,3.93,7.77,11.43,6.03,20.22,6.52,8.64,13.54,3.29,3.3,3.46
2021-03-03,4.41,4.14,7.8,11.33,6.08,22.49,6.54,8.86,12.97,3.74,3.6,3.56
2021-03-04,4.23,4.06,7.44,10.38,5.64,23.32,6.19,8.41,11.55,3.29,3.32,3.88
2021-03-05,4.27,4.03,7.31,10.82,5.42,26.42,5.83,8.03,12.36,3.26,3.21,3.56
2021-03-06,4.28,4.36,7.34,10.54,5.63,25.74,5.99,7.97,12.35,3.3,3.2,3.46
2021-03-07,4.46,4.56,7.78,10.56,5.97,25.73,6.42,8.38,12.35,3.4,3.38,3.65
2021-03-08,4.59,4.84,7.8,10.45,5.88,30.22,6.16,8.36,12.65,3.39,3.53,3.91
2021-03-09,4.81,4.94,9.51,11.19,6.41,36.4,8.25,9.13,17.4,3.69,3.6,4.62
2021-03-10,4.89,4.74,9.03,10.58,6.14,34.71,7.12,8.97,16.69,3.42,3.38,4.54
2021-03-11,5.06,4.82,9.4,10.5,6.93,33.75,7.41,8.82,23.88,3.37,3.31,5.19
2021-03-12,5.01,4.66,8.53,9.64,6.29,44.15,6.72,8.59,24.05,3.24,3.2,5.91
2021-03-13,5.35,5.07,8.95,10.27,6.6,45.52,7.42,8.87,24.7,3.38,3.47,6.32
2021-03-14,5.16,4.88,8.53,9.83,6.24,49.37,6.94,8.7,22.11,3.22,3.41,5.65
2021-03-15,4.87,4.73,8.25,9.63,6.12,50.86,6.96,8.19,22.74,3.46,3.64,5.04
2021-03-16,4.98,4.76,8.38,11.66,5.89,62.1,7.94,8.46,21.68,3.67,3.66,5.46
2021-03-17,5.16,4.81,8.74,12.86,6.13,57.76,7.86,8.62,23.32,3.65,3.93,5.32
2021-03-18,5.04,4.69,8.47,11.48,6.13,59.06,7.98,8.44,22.64,3.86,3.83,5.17
2021-03-19,5.08,4.77,8.52,12.1,6.11,61.96,8.97,9.12,23.83,3.87,3.81,5.27
2021-03-20,5.08,4.76,8.56,11.21,6.12,65.02,8.22,8.89,22.28,3.65,3.69,5.36
2021-03-21,5.02,4.71,8.58,11.08,6.19,68.39,7.89,8.76,22.12,3.58,3.6,5.16
2021-03-22,4.73,4.44,8.26,10.29,6.39,60.34,7.02,8.42,20.13,3.35,3.36,4.62
2021-03-23,4.76,4.4,8.28,10.42,6.11,52.87,6.84,8.17,19.2,3.27,3.39,4.53
2021-03-24,4.58,4.17,8.05,9.97,5.87,51.57,6.21,7.22,18.71,3.04,3.13,4.15
2021-03-25,4.49,4.19,7.58,10.23,5.61,51.12,6.21,7.12,17.48,2.99,3.18,4.11
2021-03-26,4.82,4.48,8.3,11.34,6.38,57.44,6.8,7.93,19.57,3.31,3.41,4.68
2021-03-27,4.89,4.52,8.73,10.99,7.11,58.25,6.64,7.78,19.32,3.27,3.54,4.56
2021-03-28,4.88,4.45,8.7,11.1,7.8,57.82,6.9,7.7,20.12,3.37,3.77,4.79
2021-03-29,5.04,4.79,8.92,11.22,8.17,58.9,7.09,8.2,22.36,3.54,4.28,4.96
2021-03-30,5.14,4.86,10.09,11.32,8.24,58.1,7.12,8.12,21.59,3.49,4.04,5.43
2021-03-31,5.15,5.07,9.8,11.13,8.38,58.28,6.91,8.86,20.95,3.33,4.17,5.13
2021-04-01,5.14,5.19,10.85,11.05,8.22,57.44,6.79,8.94,21.12,3.4,4.03,5.1
2021-04-02,5.16,5.63,10.96,11.11,8.53,57.65,6.98,9.8,22.26,3.54,4.14,5.11
2021-04-03,4.99,5.3,10.44,10.86,9.71,56.17,6.77,9.88,20.44,3.5,3.85,4.86
2021-04-04,5.09,5.48,11.31,11.04,10.27,56.71,7.01,10.58,20.98,3.76,3.99,5.2
2021-04-05,5.17,5.56,11.93,11.31,9.92,54.8,7.52,10.94,21.53,3.74,4.27,5.24
2021-04-06,5.08,5.57,13.07,11.69,10.83,52.16,7.57,10.35,21.77,3.78,4.27,5.79
2021-04-07,4.9,5.18,12.16,10.95,11.46,48.19,7.09,9.44,19.62,3.41,3.97,5.23
2021-04-08,5.08,5.49,13.56,11.38,11.63,49.17,7.39,9.87,20.68,3.58,4.12,5.82
2021-04-09,5.09,5.45,14.7,11.22,11.93,48.79,7.57,9.74,21.34,3.73,4.25,5.49
2021-04-10,5.23,5.63,15.27,11.36,11.57,48.31,7.64,9.93,20.79,3.67,4.24,5.55
2021-04-11,5.26,5.67,17.03,11.79,12.02,47.16,7.59,9.86,21.46,4.07,4.63,5.88
2021-04-12,5.24,5.64,19.33,12.27,12.32,45.63,8.12,9.66,20.79,3.84,4.52,5.75
2021-04-13,5.57,6.07,17.87,13.19,11.85,48.78,8.09,10.25,24.59,4.16,4.62,5.57
2021-04-14,5.52,6.42,17.82,13.54,11.4,47.65,9.22,10.15,24.08,4.72,4.46,5.42
2021-04-15,5.53,6.64,17.58,13.81,12.01,52.66,8.9,10.38,25.61,4.85,4.79,5.58
2021-04-16,5.37,6.4,16.49,13.18,10.94,49.2,8.53,9.9,25.34,4.45,4.59,5.08
2021-04-17,5.26,6.12,16.69,12.79,10.74,47.45,8.17,10.05,23.4,4.25,5.19,5.03
2021-04-18,4.93,5.91,15.63,11.95,13.98,41.85,7.06,8.94,21.18,3.74,4.45,4.41
2021-04-19,4.87,5.71,16.35,11.16,13.61,43.28,6.3,8.3,18.96,3.36,3.94,4.06
2021-04-20,4.95,6.16,19.04,11.85,13.7,41.95,6.59,8.47,19.93,3.71,3.94,4.23
2021-04-21,4.72,6.22,17.61,11.24,14.07,41.36,6.21,8.07,20.76,3.41,3.69,4.08
2021-04-22,4.53,6.33,16.37,10.68,16.79,42.54,5.77,7.87,20.34,3.27,3.54,4.09
2021-04-23,4.48,6.25,17.08,10.82,16.13,44.05,5.67,7.71,22.22,3.58,3.56,3.98
2021-04-24,4.39,5.85,16.12,10.31,17.66,48.7,5.26,6.93,20.64,3.22,3.32,3.63
2021-04-25,4.3,6.13,16.38,10.2,20.5,55.35,5.2,7.13,22.5,3.27,3.34,3.98
2021-04-26,4.73,6.69,17.36,11.56,18.95,55.05,6.36,7.98,31.23,3.85,3.77,4.29
2021-04-27,4.83,7.04,18.45,12.21,18.66,55.27,6.73,8.32,48.26,4.03,4.0,4.41
2021-04-28,4.8,7.26,18.25,12.49,19.37,52.55,6.81,8.12,45.22,4.01,3.93,4.2
2021-04-29,4.69,7.28,19.43,12.2,18.36,50.74,6.72,8.6,51.89,3.88,4.04,4.7
2021-04-30,5.05,7.32,20.2,12.64,18.5,52.15,7.9,8.73,47.78,3.97,4.28,4.75
2021-05-01,5.06,7.78,20.11,12.63,21.43,51.69,7.65,8.82,45.72,4.16,4.25,4.71
2021-05-02,4.95,7.79,20.16,12.4,20.27,53.54,7.52,8.75,47.81,4.03,4.23,4.51
2021-05-03,5.01,9.06,21.93,12.72,19.84,53.88,8.63,8.9,46.26,4.01,4.38,4.69
2021-05-04,4.66,8.55,19.75,11.86,18.42,50.87,7.31,8.31,40.98,3.66,3.89,4.12
2021-05-05,5.03,9.32,21.18,13.83,19.44,53.19,8.49,9.67,47.14,4.35,4.4,4.49
2021-05-06,4.94,9.21,20.56,15.4,18.79,52.38,9.16,9.93,44.32,4.46,4.71,4.45
2021-05-07,5.02,9.19,20.25,15.44,18.66,51.7,9.11,9.53,43.67,5.0,4.81,4.55
2021-05-08,5.16,10.33,20.97,15.15,19.73,53.11,9.24,9.54,49.45,5.16,4.64,4.48
2021-05-09,5.1,10.36,21.46,16.51,19.15,53.09,9.37,9.63,56.45,5.01,4.62,4.33
2021-05-10,4.9,10.43,20.47,15.35,18.53,49.53,8.34,8.72,50.93,4.43,4.18,4.02
2021-05-11,4.97,11.02,21.8,16.48,19.27,50.96,8.85,9.24,61.97,4.7,4.5,4.23
2021-05-12,4.33,10.08,19.27,14.61,18.81,45.7,7.9,8.37,61.04,4.01,3.88,4.13
2021-05-13,4.37,9.82,18.51,18.05,17.72,49.64,8.42,9.55,61.19,4.1,4.12,4.69
2021-05-14,4.37,10.76,19.55,18.76,18.45,51.25,8.9,11.47,85.8,4.52,4.51,4.91
2021-05-15,4.11,9.63,18.27,20.34,18.78,47.4,8.28,10.42,92.84,4.27,4.23,5.08
2021-05-16,4.07,9.46,18.3,21.5,20.2,50.49,8.79,10.14,100.38,4.24,4.26,5.02
2021-05-17,3.82,8.67,16.6,18.97,20.17,46.7,8.1,9.25,100.5,3.68,3.92,4.89
2021-05-18,3.76,8.92,16.47,18.71,24.18,48.91,8.87,9.7,142.1,3.99,4.16,4.85
2021-05-19,3.22,6.45,10.87,13.76,15.19,29.69,5.55,6.0,94.43,2.41,2.86,3.09
2021-05-20,3.56,7.32,12.7,16.84,19.22,32.37,6.04,6.93,106.69,2.96,3.39,3.59
2021-05-21,3.27,6.43,10.58,14.49,16.82,25.82,5.25,5.84,86.42,2.37,2.98,2.96
2021-05-22,3.28,6.06,9.72,13.67,13.5,20.6,4.52,5.27,69.37,2.14,2.97,2.71
2021-05-23,3.05,5.54,8.46,12.29,10.61,12.77,3.76,4.28,62.54,2.03,2.5,2.27
2021-05-24,3.4,6.99,11.21,14.48,13.58,20.74,4.67,5.56,101.7,2.54,2.99,2.79
2021-05-25,3.36,7.14,11.13,14.51,12.97,20.79,4.68,5.3,112.66,2.43,2.98,2.85
2021-05-26,3.44,7.62,12.3,16.63,15.32,22.93,5.01,5.86,128.53,2.67,3.12,3.03
2021-05-27,3.37,7.24,11.99,15.46,14.58,20.95,4.6,5.73,118.58,2.54,2.98,2.86
2021-05-28,3.13,6.37,10.66,14.13,12.52,18.42,4.02,5.1,105.75,2.22,2.74,2.5
2021-05-29,3.03,6.01,9.89,13.11,11.83,17.15,3.89,4.75,98.67,2.11,2.54,2.31
2021-05-30,3.12,6.3,10.56,14.71,12.35,19.37,3.97,4.89,108.48,2.19,2.59,2.66
2021-05-31,3.26,7.14,11.45,16.23,14.15,20.43,4.36,5.56,108.84,2.44,2.85,2.87
2021-06-01,3.21,6.95,11.74,16.2,13.36,19.65,4.27,5.45,106.11,2.4,2.73,2.77
2021-06-02,3.29,7.14,13.01,16.37,14.67,21.34,4.49,6.19,104.66,2.59,3.11,2.83
2021-06-03,3.43,7.54,13.89,17.23,17.09,23.97,4.87,6.45,106.1,2.91,3.39,3.08
2021-06-04,3.22,7.1,12.67,15.95,16.14,19.91,4.39,5.97,94.86,2.63,3.14,2.71
2021-06-05,3.12,6.94,12.65,15.46,17.12,18.86,4.14,5.68,88.84,2.59,2.98,2.81
2021-06-06,3.13,7.16,12.76,15.66,18.23,19.52,4.18,5.78,91.99,2.64,3.12,2.74
2021-06-07,2.94,6.84,11.6,14.62,16.51,17.46,3.74,5.18,86.37,2.35,2.94,2.5
2021-06-08,2.92,6.62,11.43,14.78,17.82,17.49,3.56,5.17,86.11,2.37,2.87,2.48
2021-06-09,3.27,6.89,12.17,15.2,18.15,18.79,3.7,5.54,86.7,2.43,3.17,2.76
2021-06-10,3.21,6.52,11.41,14.31,17.75,19.18,3.41,5.42,79.27,2.24,3.2,2.54
2021-06-11,3.27,6.21,11.2,13.42,15.61,17.35,3.22,5.0,72.73,2.08,2.97,2.58
2021-06-12,3.11,6.26,11.14,13.81,15.75,17.17,3.26,4.95,77.79,2.03,3.02,2.49
2021-06-13,3.41,6.62,11.85,14.53,16.72,18.89,3.55,5.26,85.27,2.19,3.17,2.68
2021-06-14,3.58,6.83,12.0,14.72,17.14,19.35,3.63,6.18,90.05,2.32,3.22,2.75
2021-06-15,3.58,6.75,11.88,14.52,17.07,20.88,3.58,5.82,94.73,2.26,3.15,2.75
2021-06-16,3.41,6.27,11.25,13.86,17.14,19.28,3.38,5.5,85.97,2.34,3.1,2.63
2021-06-17,3.33,6.26,11.43,13.84,16.95,19.22,3.57,5.38,87.41,2.38,3.25,2.64
2021-06-18,3.13,5.89,10.93,13.23,15.9,18.59,3.28,5.12,80.27,2.17,3.02,2.51
2021-06-19,3.11,5.71,10.83,12.92,15.19,17.88,3.22,4.83,78.99,2.07,2.85,2.45
2021-06-20,3.12,5.92,10.99,13.31,15.22,18.3,3.35,4.92,81.3,2.09,2.85,2.47
2021-06-21,2.77,4.98,8.78,10.96,11.49,15.1,2.69,3.75,63.88,1.66,2.3,1.92
